epoch,loss,train_accuracy,val_accuracy,val_balanced,val_macro_f1,val_combined,lr
1,0.5241340601454,0.7026732133115112,0.795,0.8247699628490528,0.7945066103715019,0.8066119513625223,0.0006
2,0.35844391237271656,0.8483360611020185,0.909,0.9185266683215597,0.9065784192041919,0.911357718851139,0.0006
3,0.2771810067525927,0.900709219858156,0.933,0.9451718494271686,0.9313507005814698,0.9368791601197493,0.0006
4,0.23262676554368744,0.925531914893617,0.972,0.9770867430441899,0.9709049798205254,0.9733776851099911,0.0006
5,0.20641960084145666,0.9378068739770867,0.981,0.9844517184942717,0.9801833767734573,0.9818907134617831,0.0006
