Threshold,Accuracy,Balanced Accuracy,Precision,Recall,F1
0.35,68.58006042296071,70.91836734693877,59.471365638766514,91.83673469387756,72.19251336898395
0.36,69.48640483383686,71.73358473824311,60.26785714285714,91.83673469387756,72.77628032345014
0.37,70.09063444108762,72.2770629991127,60.810810810810814,91.83673469387756,73.17073170731707
0.38,70.69486404833837,72.75214433599527,61.46788990825688,91.15646258503402,73.42465753424658
0.39,70.39274924471299,72.27521443359952,61.502347417840376,89.1156462585034,72.77777777777777
0.4,70.69486404833837,72.41015971606033,62.019230769230774,87.75510204081633,72.67605633802818
0.41000000000000003,71.6012084592145,73.2253771073647,62.926829268292686,87.75510204081633,73.29545454545455
0.42000000000000004,71.6012084592145,73.1569801833777,63.05418719211823,87.07482993197279,73.14285714285714
0.43000000000000005,71.90332326283988,73.3603223898255,63.5,86.39455782312925,73.19884726224784
0.44000000000000006,72.20543806646525,73.63206152026027,63.81909547738693,86.39455782312925,73.41040462427746
0.45000000000000007,72.50755287009063,73.90380065069506,64.14141414141415,86.39455782312925,73.62318840579711
0.4600000000000001,74.01812688821752,75.26249630286897,65.80310880829016,86.39455782312925,74.70588235294117
0.4700000000000001,73.71601208459214,74.9223602484472,65.625,85.71428571428571,74.33628318584071
0.4800000000000001,73.71601208459214,74.9223602484472,65.625,85.71428571428571,74.33628318584071
0.4900000000000001,74.01812688821752,75.19409937888199,65.96858638743456,85.71428571428571,74.55621301775149
0.5000000000000001,74.32024169184291,75.46583850931677,66.3157894736842,85.71428571428571,74.77744807121661
0.5100000000000001,75.52870090634441,74.36409346347234,77.04918032786885,63.94557823129252,69.88847583643123
0.5200000000000001,75.22658610271903,73.9555604850636,77.31092436974791,62.585034013605444,69.17293233082707
0.5300000000000001,74.01812688821752,72.59501626737652,76.52173913043478,59.863945578231295,67.17557251908397
0.5400000000000001,73.71601208459214,72.25488021295475,76.31578947368422,59.183673469387756,66.66666666666666
0.5500000000000002,72.80966767371602,71.23447204968944,75.67567567567568,57.14285714285714,65.11627906976744
0.5600000000000002,72.20543806646525,70.48580301685891,75.70093457943925,55.10204081632652,63.77952755905512
0.5700000000000002,72.20543806646525,70.48580301685891,75.70093457943925,55.10204081632652,63.77952755905512
0.5800000000000002,72.20543806646525,70.48580301685891,75.70093457943925,55.10204081632652,63.77952755905512
0.5900000000000002,72.20543806646525,70.34900916888495,76.69902912621359,53.74149659863946,63.2
0.6000000000000002,71.90332326283988,70.00887311446317,76.47058823529412,53.06122448979592,62.65060240963856
0.6100000000000002,71.29909365558912,69.32860100561965,76.0,51.70068027210885,61.53846153846154
0.6200000000000002,70.99697885196375,68.78327417923691,77.41935483870968,48.97959183673469,60.0
0.6300000000000002,69.18429003021149,66.67406092871931,76.47058823529412,44.21768707482993,56.03448275862068
0.6400000000000002,69.48640483383686,66.9458000591541,77.38095238095238,44.21768707482993,56.27705627705628
0.6500000000000002,69.18429003021149,66.60566400473232,77.10843373493977,43.53741496598639,55.65217391304348
