epoch,loss,train_accuracy,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,combined,threshold,lr
1,0.7594469785690308,0.326955074875208,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
2,0.750598669052124,0.3502495840266223,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
3,0.7440665364265442,0.3286189683860233,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
4,0.7349549531936646,0.37437603993344426,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
5,0.7268083095550537,0.3968386023294509,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
6,0.7219526767730713,0.42179700499168055,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
7,0.7074251174926758,0.46422628951747086,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
8,0.705138623714447,0.4925124792013311,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
9,0.6952033042907715,0.5399334442595674,0.38650306748466257,0.5,0.38650306748466257,1.0,0.5575221238938053,0.4718578641620066,0.2,0.0006
10,0.6865183711051941,0.589018302828619,0.6226993865030674,0.648452380952381,0.5079365079365079,0.7619047619047619,0.6095238095238096,0.6264726117440841,0.5100000000000002,0.0006
11,0.6843936443328857,0.5782029950083195,0.6411042944785276,0.6722619047619047,0.5230769230769231,0.8095238095238095,0.6355140186915887,0.6487744948274591,0.5100000000000002,0.0006
12,0.6744623184204102,0.6247920133111481,0.6319018404907976,0.6647619047619048,0.5151515151515151,0.8095238095238095,0.6296296296296297,0.6410781965137794,0.5100000000000002,0.0006
13,0.6650584936141968,0.6722129783693843,0.6380368098159509,0.6771031746031746,0.5194174757281553,0.8492063492063492,0.6445783132530121,0.6517191702832364,0.5100000000000002,0.0006
14,0.6621878743171692,0.6747088186356073,0.6595092024539877,0.7048809523809524,0.5352112676056338,0.9047619047619048,0.672566371681416,0.6770378782003056,0.5100000000000002,0.0006
15,0.6512826681137085,0.7079866888519135,0.6717791411042945,0.7207539682539683,0.543778801843318,0.9365079365079365,0.6880466472303207,0.6913518410870045,0.5100000000000002,0.0006
16,0.6475134491920471,0.7246256239600666,0.6932515337423313,0.747063492063492,0.5585585585585585,0.9841269841269841,0.7126436781609196,0.715212764564256,0.5100000000000002,0.0006
17,0.6404607892036438,0.7454242928452579,0.7944785276073619,0.7796428571428571,0.743801652892562,0.7142857142857143,0.728744939271255,0.7703077499671783,0.5200000000000002,0.0006
18,0.6328063607215881,0.7728785357737105,0.8128834355828221,0.8093253968253968,0.7407407407407407,0.7936507936507936,0.7662835249042146,0.7978360507520121,0.5200000000000002,0.0006
19,0.6311913132667542,0.7645590682196339,0.8343558282208589,0.8400396825396825,0.7465753424657534,0.8650793650793651,0.8014705882352942,0.8261954125208366,0.5200000000000002,0.0006
20,0.6204267740249634,0.8061564059900166,0.8496932515337423,0.8642857142857143,0.7452229299363057,0.9285714285714286,0.8268551236749117,0.8472195520016848,0.5200000000000002,0.0006
21,0.6199509501457214,0.7945091514143094,0.8588957055214724,0.8805952380952381,0.7409638554216867,0.9761904761904762,0.8424657534246576,0.8604765796645576,0.5200000000000002,0.0006
22,0.6089097857475281,0.8119800332778702,0.8496932515337423,0.874563492063492,0.7251461988304093,0.9841269841269841,0.835016835016835,0.8527513987375952,0.5200000000000002,0.0006
23,0.6056604981422424,0.8252911813643927,0.8374233128834356,0.864563492063492,0.7085714285714285,0.9841269841269841,0.8239202657807309,0.8415144525066411,0.5200000000000002,0.0006
24,0.5973408818244934,0.8227953410981698,0.8711656441717791,0.8685714285714285,0.8181818181818182,0.8571428571428571,0.8372093023255814,0.8602004769378147,0.5300000000000002,0.0006
25,0.5911454558372498,0.8277870216306157,0.8711656441717791,0.8744444444444444,0.8,0.8888888888888888,0.8421052631578947,0.8634311699494133,0.5300000000000002,0.0006
26,0.5832598209381104,0.8435940099833611,0.8773006134969326,0.8853174603174603,0.7945205479452054,0.9206349206349206,0.8529411764705882,0.8723978364351875,0.5300000000000002,0.0006
27,0.5764883756637573,0.8519134775374376,0.8711656441717791,0.8817857142857143,0.78,0.9285714285714286,0.8478260869565217,0.8673497980413825,0.5300000000000002,0.0006
28,0.5710607767105103,0.8577371048252912,0.8680981595092024,0.8807539682539682,0.7712418300653595,0.9365079365079365,0.8458781362007168,0.8652288951400864,0.5300000000000002,0.0006
29,0.5689036846160889,0.8477537437603994,0.8803680981595092,0.8790079365079365,0.8270676691729323,0.873015873015873,0.8494208494208494,0.8706758750424395,0.5400000000000003,0.0006
30,0.557968020439148,0.8693843594009983,0.8742331288343558,0.8916269841269842,0.7672955974842768,0.9682539682539683,0.856140350877193,0.8740234520349954,0.5300000000000002,0.0006
